-ized: 使...化
conventional: 傳統的、常規的
converge: 匯聚
conversion: 轉換
convert: 轉換
copied: 複製的、抄襲的、copy p.p.
correct: 正確的
corrective: 糾正的、正確的
correctly: 正確地
correctness: 正確性
corresponding: 相應的
correspondingly: 相應地
cost: 成本
could: 可以、(can - could)
cover: 覆蓋、涵蓋
critical: 關鍵的、(= important)
crucial: 關鍵的
dare: 敢於
deal with: 處理、應對
deal: 處理
decade: 十年
decades: 幾十年
decide: 決定、決策
decided: 決定的、已決定的
decision: 決定、決策
declaration: 聲明、宣告
declarative: 陳述的、聲明的
decomposition: 分解、分拆
deduce: 推斷
defer: 尊崇、推遲
definition: 定義、解釋
delimit: 劃定、界定
deliver: 傳遞
demand: 需求
denote: 表示、指示
denoted: 表示
depend on: 依賴於、取決於
dependencies: 依賴關係
dependent: 依賴的
depending: 取決於
depends: 取決於
depict: 描述
dereference: 解引用
dereferencing: 解引用
design: 設計
designed: 設計的
designing: 設計、設計過程
desirable: 令人滿意的、可望的
desire: 可望
desired: 理想的、想要的
destination: 目的地、終點
detail: 細節
detect: 偵測
detector: 偵測器
determination: 確定、決心
determine: 確定、決定
determined: 確定、決定
deters: 威脅、阻止
develop: 開發
developed: 開發的
device: 裝置
devise: 設計、發明
diagnose: 診斷
diagnostic: 診斷的
differ: 不同、差異
difficult: 困難的
directed: 指向的、導向的
direction: 方向
directly: 直接地
discarded: 丟棄的
discipline: 學科、原則
discover: 探索
discuss: 討論
discussing: 討論、商討
discussion: 討論
distinction: 區別、區分
distinguish: 區分、辨別
distinguishing: 區分、辨別
distribute: 分布
distributed memory: 分布式存儲
distributed: 分布式
distributing: 分發
diversity: 多樣性
divide: 拆分、分開
domination: 支配
done: 完成的、做好的
during: 在...期間
dynamic: 動態的
dynamically: 動態地
easier: 更容易的
easy: 容易的
economic: 經濟的
effect: 效果、影響
effectiveness: 有效性
efficiency: 效率
efficient: 高效的
effort: 努力、效益
either: 兩者之一
element: 元素
eliminate: 剔除
eliminating: 消除、(= delete)
embed: 嵌入
embedded: 嵌入的
emphasis: 強調
emphasize: 強調
empirically: 實證地、經驗上的
encapsulation: 封裝、包裝
encounter: 遇到
engineering: 工程學
ensure: 確保
entire: 整個的
entity: 實體、存在
entrust: 委託、信任
entry: 進入
equal: 相等的
equivalent: 等價的、(= same)
erroneous: 錯誤的、不正確的
especially: 特別是
essence: 本質
essential: 必要的、基本的
established: 已建立的
etcetera: 等等、其他
evaluate: 評估
evaluation: 評估
eventually: 最終
evolution: 演變、演化
evolve: 演變、發展
evolving: 演變的
examine: 檢查、審查、(= check)
excellent: 優秀的、(= good)
exclude: 不包含
execute: 執行
executed: 處決
executing: 執行
exercise: 練習
exercises: 練習、運動
exhibit: 展示
exist: 存在
existence: 存在
expand: 擴展
expansion: 擴展、膨脹
expensive: 昂貴的
experiment: 實驗
experimentation: 實驗
explain: 解釋、說明
explicit: 明確的、清楚的
explicitly: 明確地
exploit: 利用、解釋
expose: 暴露
express: 表達、表示
expresses: 表達
extend: 擴展、延伸
extensive: 廣泛的、延展性
external: 外部的
extra: 額外的
extracted: 提取
facilitate: 配合、促進
facility: 設施
factory: 工廠
fail: 失敗
familiar: 熟悉的、親切的
family: 家族、系列
fashionable: 時尚的、流行的、時髦的
feature: 特性
fed: 餵給、餵養(過去式)
feed: 餵養、餵食、給
fewer: 更少的
figure: 圖、樣貌、範例、(= example)
finding: 發現
fit on: 適合於
fit: 適合
fix: 固定
flaw: 缺陷
follow: 跟隨
following: 以下的
form: 形式、格式、表格、組成
formal: 正式的、規範的
formulate: 公式化
formulating: 公式化
formulation: 公式化
fortunately: 幸運地、幸好
foundation: 基礎
fragment: 片段
freed: 釋放
frequently: 頻繁地
front end: 前端
fundamental: 基本的
gather: 集結
gathering: 收集、聚集
generality: 一般性
gigabytes: 千兆字節、GB
gluing: 黏合
go beyond: 超越
goal: 目標、目的
grammatical: 語法的
greatest: 最大的
greatly: 大大地
grounded: 基於
grouped: 分組的
guarantee: 保證
guaranteed: 保證
had: 有、have p.p.
handwriting: 硬連線
harnessed: 利用
harnesses: 套索、利用、套、馬鞍、背心、護甲
hash: 哈希、雜湊、井號、#、(= pound sign)
held: 握住、舉行
heuristic: 啟發式的
hidden: 隱藏的
hides: 隱藏
hierarchies: 階層
hierarchy: 階層
historical: 歷史的、歷史性的
however: 然而
hundreds: 數百
hurt: 傷害
hybrid: 混合的
identify: 辨認
ill: 不好的、壞的
illustration: 插圖、舉證
immediate: 立即的、即時的
immediately: 立即
immune: 免疫的、免除的
impact: 影響
impacts: 影響
imperative: 命令的、必要的
implement: 實作、實現、執行、(= do)
implementation: 實施
implemented: 實施
implementing: 實施
implicit: 隱含的、暗示的
import: 匯入
important: 重要的
imposes: 施加、執行
impossible: 不可能的、無法實現的
improve: 改善
in addition to: 除了...之外
in fact: 事實上
in order to: 為了
in principle: 原則上
in the future: 在未來
include: 包含
inconsistencies: 不一致
incorporation: 企業、Inc.
increase: 增加
increasing: 增加的、增長的
incur: 招致
independent: 獨立的
indicate: 指出、指示
inefficiency: 低效率
infinite: 無限的
influence: 影響
influenced: 影響
informative: 提供資訊的
inheritance: 繼承
initial: 初始的
initialize: 最初的、前面的、簽名的、名字開頭的
initially: 最初地
innovative: 創新的
insatiable: 無法滿足的
instance: 實例
instead: 反而
instruction: 指令
insufficient: 不足的
integrated circuit: 集成電路、積體電路
integrated: 整合的
intensive: 密集的
intention: 意圖
inter-: 中間、之間
interact: 互動
interaction: 互動
interest: 興趣
interesting: 有趣的、引人入勝的
interior: 內部的
intermediate: 中間的
internal: 內部的
international: 國際的
internet: 網際網路
interpret: 解釋、翻譯
interpretation: 解釋
interpreted: 直譯的
interpreter: 直譯器、轉譯者
intimately: 密切地
introduce: 介紹
introduced: 引入
intuition: 直覺
invention: 發明
invocation: 調用
invoke: 調用、引起
involves: 涉及
involving: 涉及、包含
issue: 問題、執行、期、(期刊雜誌單位)
judge: 判斷
judicious: 神聖的、明智的
kept: 保持、keep p.p.
kilobytes: 千字節、KB
large: 大的
largest: 最大的、最多的
latter: 後者、後期
layout: 佈局
least: 最少、至少
led: 導致
legacy: 遺產、初期
letter: 字母、信件
leverage: 槓桿
lexeme: 詞素、詞根、詞位
lexical: 詞彙的
lie: 躺、謊言
likely: 可能的、很可能
likewise: 同樣地、也
limitation: 限制
linear: 線性的
locate: 定位、放置
machine: 機器
Macintosh: 麥金塔
macro: 巨集、指令、大量
magnitude: 大小、數量、規模
maintain: 維護
maintenance: 維護
major: 主要的、大的
majority: 大多數、主要部分
manageable: 可管理的
managed: 管理的
management: 管理
manipulate: 操縱
massively: 大量地
mathematically: 數學上
matrices: 矩陣
matter: 事情
maximal: 最大的
may: 可能、(可能性較大)
meaningful: 有意義的
mechanical: 機械的、機械性的
mechanism: 機制、機理
megabytes: 兆字節、MB
methodology: 方法論
micro-: 微小的
mid: 中
might: 可能、(可能性較小)、(may - might - might)
minimize: 最小化
minimizing: 最小化
minus: 減去、負號
misbehave: 行為不當
misnomer: 誤稱
mission: 任務
mistake: 錯誤
mnemonic: 助記的
mobile: 行動的
modified: 修改的
modules: 模組
moreover: 此外
mostly: 大多數
motorola: 摩托羅拉
much: 很多
multiple: 多個
multiplication: 乘法
multiply: 乘以
multiprocessor: 多處理器
multithreaded: 多線程的
native: 本地的
natively: 本地地
natural: 自然的
necessary: 必要的
Needless: 不必要的
neither: 兩者皆不
nested: 嵌套的、內含的
nesting: 嵌套
no longer: 不再
nonetheless: 儘管如此
nontrivial: 非凡的
norm: 標準
notational: 做記號的
notations: 記號
note: 注意、筆記
noting: 記住、(note)
notion: 概念
numerical: 數字的、數值的
object: 目標
objective: 目標、客觀
obliterate: 消除
obscure: 模糊的
observe: 觀察
obvious: 明顯的
occur: 發生
occurred: 發生
occurring: 發生
offsetting: 抵消
omit: 省略
omitted: 被省略的、被忽略的
on the other hand: 另一方面
once and for all: 一勞永逸
one and for all: 永久地、徹底地
open-ended: 開放式的
operand: 操作數
operate: 操作、運行
operation: 操作、運行
opportunity: 機會
optimal: 最佳的
optimization: 優化
optimize: 優化
optimizer: 優化器
organization: 組織
oriented: 取向的
originally: 原本地
otherwise: 否則
out of: 由於、出自於、源於、沒有、缺少
outline: 概述、(= summary)、(= overview)
overemphasize: 過度強調
overhead: 開銷
overview: 概述
overwise: 過度地、過分地
parallel: 平行的
parallelism: 並行性
parameter: 參數
parameterized: 參數化的
parentheses: 括號
particular: 特定的
passes: 通過、傳遞
per: 每個
perform: 執行、表現、(= do)
performance: 表現
performed: 執行
perhaps: 也許、可能
permit: 允許
personal: 個人的
phase: 階段、時期、(ph = f)、(= stage)
phenomenon: 現象
philosophy: 哲學
phrase: 短語、片語
physical: 實體的
piece: 塊、片
policies: 政策
policy: 政策、規則
polymorphic: 多態的、多形的
popular: 流行的
popularity: 受歡迎
portable: 可攜帶的
possibly: 可能地
postscript: 後記
potential: 潛在的
potentially: 潛在地
pound sign: 磅號、井號、#、(= hash)
practically: 實際上
practice: 實際上、實踐
precede: 在...之前、先於
precedence: 優先權、優先
precedes: 優先於、在...之前
predicate: 謂詞
predominant: 優勢的
preliminary: 初步的、開端的
prepackaged: 預先打包的
presumably: 大概、可能
prevalence: 流行
prevalent: 流行的
previous: 先前的
previously: 先前
primarily: 主要地、首要地
primary: 主要的
principal: 主要的
principle: 原則
prior: 先前的
prioritize: 優先考慮
probably: 可能
procedure: 流程
process: 處理、過程
processor: 處理器
produce: 產生、製造
productivity: 生產力
profiler: 分析器
profitably: 有利地、獲利地
progressive: 進步的
promising: 有前途的
promote: 促進
prone: 易於...的、傾向於...的
proper: 適當的
properties: 屬性
property: 屬性
propose: 提出
proposed: 提出的
protected: 受保護的、保護的
provide: 提供
pure: 純粹的
purify: 淨化
purpose: 目的、(= target)
purposely: 有目的地、故意地
qualifier: 限定詞、修飾語
qualify: 資格、限定
queries: 查詢
query: 查詢
quickly: 快速地
quite: 相當、非常
rampant: 猖獗的
rapid: 快速的
rather: 寧可、相當
raw: 原始的
reader: 讀者、閱讀器
rearrange: 重新排列
reason: 理由、原因
reasonable: 合理的
recently: 最近、近來
recognize: 認識
record: 記錄
recursive: 遞歸的、循環的
reduce: 減少
redundancies: 冗餘
redundant: 冗餘的
refer: 提及、參考
reference: 參考
referred: 提及、參考
refers: 指
refine: 定義
regarding: 關於、涉及
regin: 區域、範圍
region: 區域、範圍
register: 註冊
regular: 規則的、常規的
related: 相關的
relational: 關聯的
relationship: 關係
relatively: 相對地
reliability: 可靠性
relies: 依賴
relocatable: 可重定位的
relocate: 重新定位
remain: 保持
remainder: 剩餘物、餘數
render: 使得、渲染
reorders: 重新排序
report: 報告
represent: 代表
representation: 表示、表徵、呈現方式、(= show)
require: 要求
required: 需要的
research: 研究
reserved: 保留的
reside: 居住
resolve: 解決、(= solve)
resource: 資源
respect: 尊重
respectively: 相對的
response: 響應
restrict: 限制、約束
restricting: 限制、約束
retrieve: 恢復
rigorous: 嚴謹的
robust: 強健的、堅固的
role: 角色
routines: 例行公事、常規
satisfied: 滿意的
satisfying: 滿足
scale: 規模
scanner: 掃描器
scanning: 掃描
scheduler: 調度器
scheduling: 調度
scientific: 科學的
scientist: 科學家
secondary: 次要的
section: 部分、章節、(= part)
secure: 留住、安全的
security: 安全
semantic: 語意的
semantically: 語義上、字面上、語法上
semantics: 語義
sense: 感覺、意義
separate: 分開的
sequential: 順序的
serve: 服務
several: 幾個、數個、(= some)
shall: 應該
shape: 形狀、型塑
shifts: 轉移、變化
shorthand: 速記、簡寫
shown: 顯示、(被動)
signature: 簽名
significant: 大的、明顯的、重要的
significantly: 顯著地
signifies: 表示、意義
signify: 表示、意味著
similar: 相似的、類似的
similarly: 類似地
simpler: 更簡單
simplicity: 簡單性
simply: 簡單地
simulated: 模擬
simultaneously: 同時地
since: 自從、因為
single: 單一的
situation: 情況、情境
smallest: 最小的、最少的
so on: 等等
solid: 堅固的
sophisticate: 複雜的
sophisticated: 複雜的、精密的
speaking: 說
spec: 規格
special: 特殊的、專門的
specialized: 專業的、專門的
specific: 特定的
specification: 規範
specifies: 指定
specify: 指定、特定
specifying: 指定
spent: 花費的、(spend - spent - spent)
spurred: 刺激、促進
stand for: 代表
state-of-the-art: 最先進的
state: 陳述、長期狀態、州
statement: 陳述、聲明、(通常比單一句子長)
static: 靜態的、不變的
statically: 靜態地
status: 狀態
still: 仍然
stimulated: 刺激
storage: 存儲
straight: 直
straightforward: 直接的
strictly: 嚴格地
structure: 結構、構造
structured: 結構化的
studied: 研究
study: 研究
subsequent: 隨後的、後續的
substantial: 大量的
subtraction: 減法、減去
such as: 例如
suffer: 遭受
sufficient: 足夠的
summarize: 總結、概括
supplied: 提供、供應
supplies: 供應
supply: 供應
suppose: 認為、假設
surround: 圍繞、環繞
synchronization: 同步
syntactically: 句法上的
syntax: 語法、句法
synthesis: 合成
synthesize: 合成
systolic array: 脈動陣列
systolic: 收縮的、脈動的
tackle: 處理
tailored: 定制的
talk - talked - talked: 說
task: 任務
technically: 技術上
technique: 技術
technology: 科技
tedious: 冗長的、乏味的
tell - told - told: 告訴
temperature: 溫度
temporary: 暫時的
term: 術語
terminal: 終端
terminate: 終止、終結
terminology: 術語
that is: 也就是說
think of as: 視為
thorough: 徹底的
through: 通過、穿過
throughout: 在整個過程中、貫穿
thus: 因此
toolkit: 工具包
touches: 觸及
towards: 向、朝向
track: 追蹤
tracking: 跟踪
tradeoff: 折衷
tradeoffs: 折衷
transfer: 傳輸
transistor: 晶體管
transmit: 傳送、傳輸
transmitted: 傳送的、傳遞的
treat: 對待、看待
treated: 被視為
trends: 趨勢
trick: 欺騙
tricked: 欺騙
trivial: 瑣碎的
turning: 轉折
type: 打、(打字)
typical: 典型的
typically: 通常
typo: 打錯字
undecidable: 無法決定的
understand: 理解
understanding: 理解
unfortunately: 不幸的是
unlike: 不像
unnecessary: 不必要的
unsound: 不正確的、無效的
until: 直到、直至
up to this point: 到目前為止
upon: 在...上
usability: 可用性
usual: 通常的
usually: 通常
validate: 驗證
variation: 變化、不同
variety: many kinds
various: 各種的、不同的
versus: 對比、對抗
violating: 違反
virtual: 虛擬的
visual: 視覺的
vulnerability: 易受攻擊
vulnerable: 易受攻擊的
whenever: 無論何時
whether: 是否
wish: 希望
within: 在...之內
worse still: 更糟
worse: 更糟
worth: 值得
written: write p.p.
yet have never: 但從沒講過的是
yield: 產生、放棄、良率
